#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-14 16:41:51"
#data_read_from_db	"2018-03-14 20:45:51"
#database_id	1695
#datapoints_in_db	122947
#database_reference_id	0
#integrated_value	0.23	6.3
#sample_label	"pvc-green0"
#sample_name	"Hobbycolor_Guttagliss_green_(PVC)"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=7304 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	58.1579	210
#intheta	58.1579
#inphi	210
#front_integral	0.229
#incident_and_front_integral	58.1579	210	0.229
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	121969
#format: theta	phi	[uA]

70.47462	159.32581	1.899e-02

70.44501	159.12764	1.905e-02

70.41470	158.91841	1.913e-02

70.39046	158.75011	1.924e-02

70.36163	158.54408	1.937e-02

70.33572	158.35513	1.945e-02

70.31061	158.16704	1.950e-02

70.28561	157.97629	1.956e-02

70.25913	157.76996	1.964e-02

70.23538	157.57834	1.972e-02

70.21333	157.39691	1.976e-02

70.18777	157.18106	1.976e-02

70.16582	156.99094	1.981e-02

70.14379	156.79721	1.985e-02

70.12269	156.60606	1.992e-02

70.10195	156.40906	1.995e-02

70.08192	156.22023	2.001e-02

70.06298	156.02840	2.006e-02

70.04234	155.81816	2.011e-02

70.02274	155.60806	2.017e-02

70.00821	155.40677	2.023e-02

69.98881	155.23721	2.031e-02

69.97234	155.04500	2.038e-02

69.95564	154.84657	2.043e-02

69.93903	154.63875	2.053e-02

69.92395	154.44627	2.060e-02

69.90850	154.23502	2.068e-02

69.89570	154.05638	2.071e-02

69.88115	153.84489	2.076e-02

69.86816	153.64972	2.081e-02

69.85632	153.45566	2.084e-02

69.84486	153.26067	2.084e-02

69.83287	153.04747	2.083e-02

69.82244	152.85152	2.083e-02

69.81147	152.63982	2.088e-02

69.80321	152.46036	2.091e-02

69.79456	152.26442	2.093e-02

69.78470	152.03453	2.096e-02

69.77859	151.86469	2.097e-02

69.77116	151.65826	2.100e-02

69.76480	151.46143	2.106e-02

69.75920	151.26555	2.106e-02

69.75362	151.06424	2.109e-02

69.74852	150.83730	2.115e-02

69.74496	150.65781	2.124e-02

69.74136	150.46088	2.128e-02

69.73866	150.25990	2.130e-02

69.73626	150.04845	2.133e-02

69.73477	149.85953	2.137e-02

69.73391	149.63451	2.139e-02

69.73393	149.43895	2.137e-02

69.73425	149.25446	2.132e-02

69.73511	149.04231	2.131e-02

69.73674	148.84502	2.130e-02

69.73957	148.61601	2.134e-02

69.74207	148.44725	2.132e-02

69.74568	148.24583	2.130e-02

69.75015	148.03329	2.131e-02

69.75488	147.83537	2.131e-02

69.76014	147.63660	2.129e-02

69.76673	147.42166	2.128e-02

69.77353	147.22231	2.125e-02

69.78118	147.02231	2.127e-02

69.78990	146.80766	2.131e-02

69.79839	146.61192	2.134e-02

69.80802	146.40865	2.134e-02

69.81815	146.21069	2.134e-02

69.82985	145.99480	2.135e-02

69.84093	145.79944	2.137e-02

69.85346	145.59587	2.138e-02

69.86600	145.39458	2.136e-02

69.87843	145.20901	2.133e-02

69.89334	144.99797	2.129e-02

69.90771	144.79962	2.124e-02

69.92319	144.59996	2.127e-02

69.94070	144.38153	2.123e-02

69.95640	144.19395	2.122e-02

69.97459	143.98431	2.119e-02

69.99391	143.77057	2.114e-02

70.01318	143.56735	2.111e-02

70.03271	143.36852	2.111e-02

70.05264	143.16962	2.107e-02

70.08181	142.92545	2.102e-02

70.09712	142.75319	2.097e-02

70.11787	142.56766	2.099e-02

70.14246	142.35341	2.099e-02

70.16602	142.15366	2.097e-02

70.19022	141.95500	2.093e-02

70.21510	141.75558	2.091e-02

70.24343	141.53716	2.088e-02

