#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2018-03-21 12:27:15"
#data_read_from_db	"2018-03-21 13:08:09"
#database_id	1805
#datapoints_in_db	127652
#database_reference_id	0
#integrated_value	0.22	6.3
#sample_label	"layer_020_030"
#sample_name	"Layered:_#20_on_top_of_#30"
#lamp	"xenon"
#beamshape	"det,f=300,a=1"
#filterlamp	"none"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: allmess.c,v 3.21 2017/10/21 18:12:11 apian Exp apian $daq serial[0]="016"(offn)|optfile=python-tizian|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.15 2017/12/22 19:45:57 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=18 poweron=8435 [h] last_change=131 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	31.3158	0
#intheta	31.3158
#inphi	0
#front_integral	0.221
#incident_and_front_integral	31.3158	0	0.221
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	126567
#format: theta	phi	[uA]
71.70951	7.02066	9.630e-03
71.65527	6.93617	9.680e-03
71.60488	6.85751	9.720e-03
71.55523	6.77955	9.755e-03
71.50638	6.69698	9.765e-03
71.45123	6.61537	9.802e-03
71.39632	6.52993	9.844e-03
71.35057	6.45769	9.876e-03
71.30018	6.37804	9.909e-03
71.24290	6.28803	9.951e-03
71.19558	6.21271	9.975e-03
71.14371	6.13071	1.001e-02
71.08888	6.04500	1.005e-02
71.03839	5.96362	1.010e-02
70.99289	5.89262	1.014e-02
70.93867	5.80599	1.020e-02
70.89151	5.73119	1.025e-02
70.83981	5.64968	1.029e-02
70.78635	5.56365	1.033e-02
70.71780	5.45003	1.037e-02
70.67982	5.39445	1.041e-02
70.63274	5.31943	1.046e-02
70.58096	5.23618	1.051e-02
70.52240	5.14324	1.056e-02
70.47225	5.06288	1.059e-02
70.42451	4.98695	1.061e-02
70.36442	4.89086	1.066e-02
70.31744	4.81558	1.071e-02
70.25748	4.71404	1.075e-02
70.21044	4.64399	1.078e-02
70.16199	4.56634	1.081e-02
70.10664	4.47744	1.084e-02
70.05505	4.39369	1.090e-02
70.00356	4.31066	1.096e-02
69.94747	4.22009	1.098e-02
69.89523	4.13545	1.101e-02
69.84380	4.05227	1.108e-02
69.79315	3.96367	1.113e-02
69.74023	3.88423	1.117e-02
69.67966	3.78587	1.123e-02
69.63206	3.70771	1.129e-02
69.57938	3.62354	1.135e-02
69.52795	3.53851	1.139e-02
69.47208	3.44743	1.143e-02
69.41934	3.36155	1.143e-02
69.36662	3.27563	1.147e-02
69.31693	3.19417	1.154e-02
69.26261	3.10434	1.158e-02
69.21004	3.01901	1.162e-02
69.15278	2.92455	1.165e-02
69.10019	2.83833	1.168e-02
69.04827	2.75205	1.173e-02
62.87827	-8.51514	1.736e-02
62.82035	-8.63539	1.740e-02
62.77197	-8.73572	1.744e-02
62.71028	-8.86296	1.746e-02
62.64979	-8.99833	1.751e-02
62.59592	-9.10189	1.760e-02
62.53860	-9.22117	1.765e-02
62.47543	-9.35240	1.769e-02
62.41832	-9.47357	1.774e-02
62.36071	-9.59414	1.779e-02
62.29791	-9.72744	1.783e-02
62.23989	-9.84997	1.788e-02
62.18328	-9.97089	1.794e-02
62.12877	-10.08773	1.798e-02
62.06850	-10.21577	1.806e-02
62.01096	-10.33967	1.812e-02
61.94899	-10.47309	1.819e-02
61.89434	-10.59052	1.823e-02
61.83577	-10.72719	1.828e-02
61.76724	-10.86586	1.835e-02
61.70908	-10.99390	1.840e-02
61.66010	-11.09996	1.846e-02
61.59899	-11.23432	1.851e-02
61.53292	-11.37919	1.853e-02
61.47981	-11.49674	1.860e-02
61.42109	-11.62567	1.867e-02
61.36759	-11.74520	1.872e-02
61.30914	-11.87442	1.879e-02
61.24068	-12.03852	1.884e-02
61.18701	-12.14793	1.888e-02
61.13406	-12.26721	1.893e-02
61.07558	-12.39879	1.898e-02
61.01727	-12.54201	1.905e-02
60.95721	-12.66676	1.909e-02
60.90046	-12.79620	1.912e-02
60.83328	-12.94935	1.922e-02
60.78428	-13.06172	1.929e-02
60.72620	-13.20668	1.935e-02
60.66690	-13.33225	1.941e-02
60.59986	-13.48788	1.947e-02
60.55203	-13.59991	1.953e-02
60.49392	-13.73494	1.960e-02
60.42624	-13.89380	1.965e-02
60.37334	-14.01777	1.962e-02
60.32059	-14.14187	1.962e-02
60.25893	-14.28813	1.971e-02
60.20229	-14.42311	1.978e-02
60.13281	-14.60081	1.982e-02
60.08475	-14.70590	1.986e-02
60.02802	-14.84149	1.993e-02
59.97504	-14.96921	2.000e-02
59.91511	-15.11483	2.006e-02
59.85952	-15.25083	2.008e-02
59.79350	-15.41201	2.010e-02
59.74242	-15.53855	2.019e-02
59.68973	-15.66969	2.030e-02
59.63282	-15.82258	2.034e-02
59.57493	-15.95497	2.038e-02
59.51403	-16.10648	2.041e-02
59.45860	-16.24641	2.046e-02
59.40563	-16.38027	2.049e-02
59.34768	-16.52692	2.051e-02
59.28825	-16.67910	2.053e-02
59.23186	-16.82343	2.055e-02
59.17738	-16.96343	2.060e-02
59.12481	-17.09993	2.070e-02
59.06457	-17.25741	2.073e-02
59.01350	-17.39069	2.077e-02
58.95425	-17.54679	2.083e-02
58.89909	-17.69139	2.090e-02
58.84805	-17.84133	2.094e-02
58.79118	-17.97996	2.100e-02
58.72790	-18.14968	2.106e-02
58.67860	-18.28305	2.110e-02
58.62785	-18.42114	2.116e-02
